"sprint_day","date","time_ist","timezone","platform","surface","format","frames","language","theme","delivery_id","caption","creative_brief","primary_action","proposed_redirect","link_status","fallback","status","asset_paths","posted_url","published_at_ist"
"10","2026-09-15","09:00","Asia/Kolkata","x","feed","card","1","bn","Bengali unsent-letter prompt","2609_d15_x_card_bn_sprint2_am_bengali_unsent_letter_prompt","লেখার অনুশীলন: “চিঠিটা লেখা হয়েছিল, কিন্তু পাঠানো হয়নি।” কেন? পরের দুটি বাক্য লিখুন।

#writon #বাংলাসাহিত্য #গল্প","1080x1080 original card. Hook: চিঠিটা লেখা হয়েছিল, কিন্তু পাঠানো হয়নি। Adapt it specifically to the morning caption; do not repeat the evening creative.","participation","","not_applicable","English: The letter was written, but never sent. Why? Write the next two sentences.","planned_draft","","",""
"10","2026-09-15","12:30","Asia/Kolkata","ig","story","story","1","bn","Bengali unsent-letter prompt","2609_d15_ig_story_bn_sprint2_midday_bengali_unsent_letter_prompt","গল্পটা কোন দিকে যাক?

#writon #বাংলা #বাংলাসাহিত্য #গল্প #writingcommunity","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: গল্পটা কোন দিকে যাক? Poll choices if supported: ফিরে দেখা / নতুন শুরু. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","English: The letter was written, but never sent. Why? Write the next two sentences.","planned_draft","","",""
"10","2026-09-15","19:30","Asia/Kolkata","ig","feed","card","1","bn","Bengali unsent-letter prompt","2609_d15_ig_card_bn_sprint2_main_bengali_unsent_letter_prompt","আজকের লেখার অনুশীলন: “চিঠিটা লেখা হয়েছিল, কিন্তু পাঠানো হয়নি।” কেন পাঠানো হয়নি? পরের দুটি বাক্য কমেন্টে লিখুন। এটি WritOn-এর একটি লেখার সংকেত।

#writon #বাংলা #বাংলাসাহিত্য #গল্প #writingcommunity","One 1080x1080 card. Cover: চিঠিটা লেখা হয়েছিল, কিন্তু পাঠানো হয়নি।
1. লেখার অনুশীলন
2. কেন চিঠিটা পাঠানো হয়নি?
3. পরের দুটি বাক্য লিখুন।
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","participation","","not_applicable","English: The letter was written, but never sent. Why? Write the next two sentences.","planned_draft","","",""
"10","2026-09-15","20:30","Asia/Kolkata","x","feed","card","1","bn","Bengali unsent-letter prompt","2609_d15_x_card_bn_sprint2_pm_bengali_unsent_letter_prompt","একটি চরিত্র যা বলতে পারে না, সেটাও গল্পকে এগিয়ে নিতে পারে। আপনার চরিত্র কোন কথাটি নিজের মধ্যে রেখে দেবে?

#writon #বাংলাসাহিত্য #গল্প","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","participation","","not_applicable","English: The letter was written, but never sent. Why? Write the next two sentences.","planned_draft","","",""
"10","2026-09-15","20:45","Asia/Kolkata","ig","story","story","2","bn","Bengali unsent-letter prompt","2609_d15_ig_story_bn_sprint2_evening_bengali_unsent_letter_prompt","চিঠিটা লেখা হয়েছিল, কিন্তু পাঠানো হয়নি।

Use tonight's exercise or question from the feed post.

#writon #বাংলা #বাংলাসাহিত্য #গল্প #writingcommunity","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: the daily question or save/practice reminder. Do not show invented replies or counts. Localize this copy to bn during review.","participation","","not_applicable","English: The letter was written, but never sent. Why? Write the next two sentences.","planned_draft","","",""
"11","2026-09-16","09:00","Asia/Kolkata","x","feed","card","1","hi","Hindi sensory writing","2609_d16_x_card_hi_sprint2_am_hindi_sensory_writing","लेखन अभ्यास: “गली सुनसान थी” में एक आवाज़ जोड़िए। आपके दृश्य में क्या सुनाई देगा?

#writon #हिंदीसाहित्य #लेखन","1080x1080 original card. Hook: दृश्य को एक आवाज़ दीजिए। Adapt it specifically to the morning caption; do not repeat the evening creative.","save","","not_applicable","English sensory-writing exercise, with original examples, if fluent Hindi review is unavailable.","planned_draft","","",""
"11","2026-09-16","12:30","Asia/Kolkata","ig","story","story","1","hi","Hindi sensory writing","2609_d16_ig_story_hi_sprint2_midday_hindi_sensory_writing","दृश्य में क्या जोड़ेंगे?

#writon #हिंदीसाहित्य #लेखन #कहानी #writingcommunity","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: दृश्य में क्या जोड़ेंगे? Poll choices if supported: बारिश की आवाज़ / कदमों की आहट. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","English sensory-writing exercise, with original examples, if fluent Hindi review is unavailable.","planned_draft","","",""
"11","2026-09-16","19:30","Asia/Kolkata","ig","feed","carousel","1","hi","Hindi sensory writing","2609_d16_ig_carousel_hi_sprint2_main_hindi_sensory_writing","कभी-कभी एक आवाज़ पूरा दृश्य बना देती है। स्वाइप करके WritOn का उदाहरण पढ़िए। अपने अगले दृश्य में सिर्फ़ एक आवाज़ जोड़कर देखिए। यह अभ्यास बाद के लिए सेव कर सकते हैं।

#writon #हिंदीसाहित्य #लेखन #कहानी #writingcommunity","Five panels, 1080x1350 each. Cover: दृश्य को एक आवाज़ दीजिए।
1. सिर्फ़ यह मत लिखिए: गली सुनसान थी।
2. WritOn का उदाहरण: बंद दुकानों के बीच एक ढीला शटर खड़क रहा था।
3. एक आवाज़ चुनिए।
4. उस आवाज़ से दृश्य का माहौल बदलिए।
5. अगले लेखन अभ्यास के लिए इसे सेव कीजिए।
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","save","","not_applicable","English sensory-writing exercise, with original examples, if fluent Hindi review is unavailable.","planned_draft","","",""
"11","2026-09-16","20:30","Asia/Kolkata","x","feed","card","1","hi","Hindi sensory writing","2609_d16_x_card_hi_sprint2_pm_hindi_sensory_writing","आज अपना एक पैराग्राफ़ पढ़िए। क्या उसमें सब कुछ सिर्फ़ दिख रहा है? एक आवाज़ जोड़कर देखिए, फिर तय कीजिए कि दृश्य बेहतर हुआ या नहीं।

#writon #हिंदीसाहित्य #लेखन","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","save","","not_applicable","English sensory-writing exercise, with original examples, if fluent Hindi review is unavailable.","planned_draft","","",""
"11","2026-09-16","20:45","Asia/Kolkata","ig","story","story","2","hi","Hindi sensory writing","2609_d16_ig_story_hi_sprint2_evening_hindi_sensory_writing","दृश्य को एक आवाज़ दीजिए।

Use tonight's exercise or question from the feed post.

#writon #हिंदीसाहित्य #लेखन #कहानी #writingcommunity","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: the daily question or save/practice reminder. Do not show invented replies or counts. Localize this copy to hi during review.","save","","not_applicable","English sensory-writing exercise, with original examples, if fluent Hindi review is unavailable.","planned_draft","","",""
"12","2026-09-17","09:00","Asia/Kolkata","x","feed","card","1","en","One scene, two perspectives; optional verified author feature","2609_d17_x_card_en_sprint2_am_one_scene_two_perspectives","One person arrives late. One has been waiting. Write the first line from either person's point of view.

#writon #writingcommunity #amwriting","1080x1080 original card. Hook: The same moment can tell two stories. Adapt it specifically to the morning caption; do not repeat the evening creative.","participation","","not_applicable","Default to this original exercise. Replace with a second consent-cleared author feature only when its full evidence and destination are verified.","planned_draft","","",""
"12","2026-09-17","12:30","Asia/Kolkata","ig","story","story","1","en","One scene, two perspectives; optional verified author feature","2609_d17_ig_story_en_sprint2_midday_one_scene_two_perspectives","Whose story comes first?

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: Whose story comes first? Poll choices if supported: The person waiting / The late arrival. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","Default to this original exercise. Replace with a second consent-cleared author feature only when its full evidence and destination are verified.","planned_draft","","",""
"12","2026-09-17","19:30","Asia/Kolkata","ig","feed","carousel","1","en","One scene, two perspectives; optional verified author feature","2609_d17_ig_carousel_en_sprint2_main_one_scene_two_perspectives","The person waiting and the person arriving may remember the same moment differently. Write one line from each point of view. Which voice would you follow into a story?

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Five panels, 1080x1350 each. Cover: The same moment can tell two stories.
1. Imagine someone arriving late.
2. Write one line from the person who waited.
3. Write one line from the person who arrived.
4. Brand-written example: I kept the seat. / I nearly turned back.
5. Which perspective would you explore next?
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","participation","","not_applicable","Default to this original exercise. Replace with a second consent-cleared author feature only when its full evidence and destination are verified.","planned_draft","","",""
"12","2026-09-17","20:30","Asia/Kolkata","x","feed","card","1","en","One scene, two perspectives; optional verified author feature","2609_d17_x_card_en_sprint2_pm_one_scene_two_perspectives","Point-of-view exercise: rewrite a small moment through the eyes of the person who seems least important. What do they notice?

#writon #writingcommunity #amwriting","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","participation","","not_applicable","Default to this original exercise. Replace with a second consent-cleared author feature only when its full evidence and destination are verified.","planned_draft","","",""
"12","2026-09-17","20:45","Asia/Kolkata","ig","story","story","2","en","One scene, two perspectives; optional verified author feature","2609_d17_ig_story_en_sprint2_evening_one_scene_two_perspectives","The same moment can tell two stories.

Use tonight's exercise or question from the feed post.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: the daily question or save/practice reminder. Do not show invented replies or counts. Localize this copy to en during review.","participation","","not_applicable","Default to this original exercise. Replace with a second consent-cleared author feature only when its full evidence and destination are verified.","planned_draft","","",""
"13","2026-09-18","09:00","Asia/Kolkata","x","feed","card","1","en","Find your next read","2609_d18_x_card_en_sprint2_am_find_your_next_read","For your next read, would you choose a familiar setting or somewhere completely new?

#writon #writingcommunity #amwriting","1080x1080 original card. Hook: Choose a mood for your next read. Adapt it specifically to the morning caption; do not repeat the evening creative.","participation","","not_applicable","If screen content or rights cannot be verified, make an original reading-choice guide with no story names, screenshots, or app CTA.","planned_draft","","",""
"13","2026-09-18","12:30","Asia/Kolkata","ig","story","story","1","en","Find your next read","2609_d18_ig_story_en_sprint2_midday_find_your_next_read","What would you read tonight?

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: What would you read tonight? Poll choices if supported: Something hopeful / A mystery. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","If screen content or rights cannot be verified, make an original reading-choice guide with no story names, screenshots, or app CTA.","planned_draft","","",""
"13","2026-09-18","19:30","Asia/Kolkata","ig","feed","carousel","1","en","Find your next read","2609_d18_ig_carousel_en_sprint2_main_find_your_next_read","Choose the language you want to read and a mood you are curious about. This guide shows the current WritOn discovery experience. Explore the app on Android through the link in our bio.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Five panels, 1080x1350 each. Cover: Choose a mood for your next read.
1. Start with the language you want to read.
2. Choose a mood or subject you are curious about.
3. Show current, verified WritOn discovery screens.
4. Open a verified story or use a brand-owned demo with a visible Demo label.
5. Explore WritOn on Android through the link in our bio.
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","app","","not_applicable","If screen content or rights cannot be verified, make an original reading-choice guide with no story names, screenshots, or app CTA.","planned_draft","","",""
"13","2026-09-18","20:30","Asia/Kolkata","x","feed","card","1","en","Find your next read","2609_d18_x_card_en_sprint2_pm_find_your_next_read","Choose the language and mood for your next read. Explore stories and poetry on WritOn for Android:
{VERIFIED_X_DELIVERY_URL}

#writon #writingcommunity #amwriting","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","app","https://writon.cc/go/2609_d18_x_card_en_sprint2_pm_find_your_next_read","UNVERIFIED_PROPOSED","If screen content or rights cannot be verified, make an original reading-choice guide with no story names, screenshots, or app CTA.","planned_draft","","",""
"13","2026-09-18","20:45","Asia/Kolkata","ig","story","story","2","en","Find your next read","2609_d18_ig_story_en_sprint2_evening_find_your_next_read","Choose a mood for your next read.

Explore WritOn on Android. Use the verified Story link sticker.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: one verified Android app link sticker; label the destination accurately. Do not show invented replies or counts. Localize this copy to en during review.","app","https://writon.cc/go/2609_d18_ig_story_en_sprint2_evening_find_your_next_read","UNVERIFIED_PROPOSED","If screen content or rights cannot be verified, make an original reading-choice guide with no story names, screenshots, or app CTA.","planned_draft","","",""
"14","2026-09-19","09:00","Asia/Kolkata","x","feed","card","1","hi","Two-week recap and next preference","2609_d19_x_card_hi_sprint2_am_two_week_recap_and_next_preference","अगली कहानी की शुरुआत चुनिए: एक दस्तक, एक खोई हुई चीज़ या चुप्पी तोड़ती आवाज़। उससे दो पंक्तियाँ लिखिए।

#writon #हिंदीसाहित्य #लेखन","1080x1080 original card. Hook: अगली कहानी की शुरुआत किससे करें? Adapt it specifically to the morning caption; do not repeat the evening creative.","participation","","not_applicable","Publish the exercise recap even with zero entries; include community excerpts only with explicit reuse permission. Use reviewed English fallback if needed.","planned_draft","","",""
"14","2026-09-19","12:30","Asia/Kolkata","ig","story","story","1","hi","Two-week recap and next preference","2609_d19_ig_story_hi_sprint2_midday_two_week_recap_and_next_preference","अगला अभ्यास क्या हो?

#writon #हिंदीसाहित्य #लेखन #कहानी #writingcommunity","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: अगला अभ्यास क्या हो? Poll choices if supported: संवाद / कहानी की शुरुआत. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","Publish the exercise recap even with zero entries; include community excerpts only with explicit reuse permission. Use reviewed English fallback if needed.","planned_draft","","",""
"14","2026-09-19","19:30","Asia/Kolkata","ig","feed","carousel","1","hi","Two-week recap and next preference","2609_d19_ig_carousel_hi_sprint2_main_two_week_recap_and_next_preference","इन दो हफ्तों के अभ्यासों में से एक शुरुआत चुनिए: दस्तक, खोई हुई चीज़ या चुप्पी तोड़ती आवाज़। उससे दो पंक्तियाँ लिखिए। अगले सप्ताह किस तरह का लेखन अभ्यास चाहेंगे?

#writon #हिंदीसाहित्य #लेखन #कहानी #writingcommunity","Five panels, 1080x1350 each. Cover: अगली कहानी की शुरुआत किससे करें?
1. एक दस्तक।
2. एक खोई हुई चीज़।
3. एक ऐसी आवाज़, जो चुप्पी तोड़ दे।
4. अपनी पसंद से दो पंक्तियाँ लिखिए।
5. अगले सप्ताह कौन-सा लेखन अभ्यास चाहेंगे?
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","participation","","not_applicable","Publish the exercise recap even with zero entries; include community excerpts only with explicit reuse permission. Use reviewed English fallback if needed.","planned_draft","","",""
"14","2026-09-19","20:30","Asia/Kolkata","x","feed","card","1","hi","Two-week recap and next preference","2609_d19_x_card_hi_sprint2_pm_two_week_recap_and_next_preference","अगले सप्ताह किस तरह के लेखन अभ्यास चाहेंगे: संवाद, कविता या कहानी की शुरुआत? अपनी पसंद बताइए।

#writon #हिंदीसाहित्य #लेखन","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","participation","","not_applicable","Publish the exercise recap even with zero entries; include community excerpts only with explicit reuse permission. Use reviewed English fallback if needed.","planned_draft","","",""
"14","2026-09-19","20:45","Asia/Kolkata","ig","story","story","2","hi","Two-week recap and next preference","2609_d19_ig_story_hi_sprint2_evening_two_week_recap_and_next_preference","अगली कहानी की शुरुआत किससे करें?

Use tonight's exercise or question from the feed post.

#writon #हिंदीसाहित्य #लेखन #कहानी #writingcommunity","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: the daily question or save/practice reminder. Do not show invented replies or counts. Localize this copy to hi during review.","participation","","not_applicable","Publish the exercise recap even with zero entries; include community excerpts only with explicit reuse permission. Use reviewed English fallback if needed.","planned_draft","","",""
